year,state,month,number,date,area,rain,wind,temp
2005,Distrito Federal,mar,0,01/01/2005,,,,
2006,Distrito Federal,mar,0,01/01/2006,,,,
2007,Distrito Federal,mar,1,01/01/2007,,,,
2008,Distrito Federal,mar,2,01/01/2008,,,,
2009,Distrito Federal,mar,0,01/01/2009,,,,
2010,Distrito Federal,mar,0,01/01/2010,,,,
2011,Distrito Federal,mar,0,01/01/2011,,,,
2012,Distrito Federal,mar,0,01/01/2012,,,,
2013,Distrito Federal,mar,1,01/01/2013,,,,
2014,Distrito Federal,mar,1,01/01/2014,,,,
2015,Distrito Federal,mar,0,01/01/2015,,,,
2016,Distrito Federal,mar,1,01/01/2016,,,,
2017,Distrito Federal,mar,0,01/01/2017,,,,
1998,Distrito Federal,apr,0,01/01/1998,,,,
1999,Distrito Federal,apr,0,01/01/1999,,,,
2000,Distrito Federal,apr,0,01/01/2000,,,,
2001,Distrito Federal,apr,0,01/01/2001,,,,
2002,Distrito Federal,apr,1,01/01/2002,,,,
2003,Distrito Federal,apr,0,01/01/2003,,,,
2004,Distrito Federal,apr,1,01/01/2004,,,,
2005,Distrito Federal,apr,0,01/01/2005,,,,
2006,Distrito Federal,apr,0,01/01/2006,,,,
2007,Distrito Federal,apr,0,01/01/2007,,,,
2008,Distrito Federal,apr,1,01/01/2008,,,,
2009,Distrito Federal,apr,0,01/01/2009,,,,
2010,Distrito Federal,apr,8,01/01/2010,,,,
2011,Distrito Federal,apr,1,01/01/2011,,,,
2012,Distrito Federal,apr,4,01/01/2012,,,,
2013,Distrito Federal,apr,1,01/01/2013,,,,
2014,Distrito Federal,apr,2,01/01/2014,,,,
2015,Distrito Federal,apr,0,01/01/2015,,,,
2016,Distrito Federal,apr,5,01/01/2016,,,,
2017,Distrito Federal,apr,1,01/01/2017,,,,
1998,Distrito Federal,may,0,01/01/1998,,,,
1999,Distrito Federal,may,0,01/01/1999,,,,
2000,Distrito Federal,may,2,01/01/2000,,,,
2001,Distrito Federal,may,0,01/01/2001,,,,
2002,Distrito Federal,may,1,01/01/2002,,,,
2003,Distrito Federal,may,0,01/01/2003,,,,
2004,Distrito Federal,may,9,01/01/2004,,,,
2005,Distrito Federal,may,2,01/01/2005,,,,
2006,Distrito Federal,may,3,01/01/2006,,,,
2007,Distrito Federal,may,4,01/01/2007,,,,
2008,Distrito Federal,may,6,01/01/2008,,,,
2009,Distrito Federal,may,9,01/01/2009,,,,
2010,Distrito Federal,may,23,01/01/2010,,,,
2011,Distrito Federal,may,3,01/01/2011,,,,
2012,Distrito Federal,may,0,01/01/2012,,,,
2013,Distrito Federal,may,2,01/01/2013,,,,
2014,Distrito Federal,may,9,01/01/2014,,,,
2015,Distrito Federal,may,2,01/01/2015,,,,
2016,Distrito Federal,may,15,01/01/2016,,,,
2017,Distrito Federal,may,6,01/01/2017,,,,
1998,Distrito Federal,jun,2,01/01/1998,,,,
1999,Distrito Federal,jun,3,01/01/1999,,,,
2000,Distrito Federal,jun,1,01/01/2000,,,,
2001,Distrito Federal,jun,3,01/01/2001,,,,
2002,Distrito Federal,jun,7,01/01/2002,,,,
2003,Distrito Federal,jun,11,01/01/2003,,,,
2004,Distrito Federal,jun,6,01/01/2004,,,,
2005,Distrito Federal,jun,3,01/01/2005,,,,
2006,Distrito Federal,jun,2,01/01/2006,,,,
2007,Distrito Federal,jun,21,01/01/2007,,,,
2008,Distrito Federal,jun,0,01/01/2008,,,,
2009,Distrito Federal,jun,4,01/01/2009,,,,
2010,Distrito Federal,jun,21,01/01/2010,,,,
2011,Distrito Federal,jun,18,01/01/2011,,,,
2012,Distrito Federal,jun,6,01/01/2012,,,,
2013,Distrito Federal,jun,4,01/01/2013,,,,
2014,Distrito Federal,jun,6,01/01/2014,,,,
2015,Distrito Federal,jun,1,01/01/2015,,,,
2016,Distrito Federal,jun,42,01/01/2016,,,,
2017,Distrito Federal,jun,23,01/01/2017,,,,
1998,Distrito Federal,jul,17,01/01/1998,,,,
1999,Distrito Federal,jul,4,01/01/1999,,,,
2000,Distrito Federal,jul,15,01/01/2000,,,,
2001,Distrito Federal,jul,22,01/01/2001,,,,
2002,Distrito Federal,jul,33,01/01/2002,,,,
2003,Distrito Federal,jul,19,01/01/2003,,,,
2004,Distrito Federal,jul,37,01/01/2004,,,,
2005,Distrito Federal,jul,24,01/01/2005,,,,
2006,Distrito Federal,jul,10,01/01/2006,,,,
2007,Distrito Federal,jul,25,01/01/2007,,,,
2008,Distrito Federal,jul,12,01/01/2008,,,,
2009,Distrito Federal,jul,33,01/01/2009,,,,
2010,Distrito Federal,jul,85,01/01/2010,,,,
2011,Distrito Federal,jul,53,01/01/2011,,,,
2012,Distrito Federal,jul,29,01/01/2012,,,,
2013,Distrito Federal,jul,22,01/01/2013,,,,
2014,Distrito Federal,jul,27,01/01/2014,,,,
2015,Distrito Federal,jul,15,01/01/2015,,,,
2016,Distrito Federal,jul,79,01/01/2016,,,,
2017,Distrito Federal,jul,44,01/01/2017,,,,
1998,Distrito Federal,aug,48,01/01/1998,,,,
1999,Distrito Federal,aug,16,01/01/1999,,,,
2000,Distrito Federal,aug,9,01/01/2000,,,,
2001,Distrito Federal,aug,25,01/01/2001,,,,
2002,Distrito Federal,aug,53,01/01/2002,,,,
2003,Distrito Federal,aug,36,01/01/2003,,,,
2004,Distrito Federal,aug,108,01/01/2004,,,,
2005,Distrito Federal,aug,20,01/01/2005,,,,
2006,Distrito Federal,aug,40,01/01/2006,,,,
2007,Distrito Federal,aug,137,01/01/2007,,,,
2008,Distrito Federal,aug,30,01/01/2008,,,,
2009,Distrito Federal,aug,37,01/01/2009,,,,
2010,Distrito Federal,aug,159,01/01/2010,,,,
2011,Distrito Federal,aug,61,01/01/2011,,,,
2012,Distrito Federal,aug,55,01/01/2012,,,,
2013,Distrito Federal,aug,34,01/01/2013,,,,
2014,Distrito Federal,aug,99,01/01/2014,,,,
2015,Distrito Federal,aug,53,01/01/2015,,,,
2016,Distrito Federal,aug,29,01/01/2016,,,,
2017,Distrito Federal,aug,147,01/01/2017,,,,
1998,Distrito Federal,sep,33,01/01/1998,,,,
1999,Distrito Federal,sep,12,01/01/1999,,,,
2000,Distrito Federal,sep,3,01/01/2000,,,,
2001,Distrito Federal,sep,12,01/01/2001,,,,
2002,Distrito Federal,sep,33,01/01/2002,,,,
2003,Distrito Federal,sep,17,01/01/2003,,,,
2004,Distrito Federal,sep,100,01/01/2004,,,,
2005,Distrito Federal,sep,23,01/01/2005,,,,
2006,Distrito Federal,sep,20,01/01/2006,,,,
2007,Distrito Federal,sep,73,01/01/2007,,,,
2008,Distrito Federal,sep,54,01/01/2008,,,,
2009,Distrito Federal,sep,5,01/01/2009,,,,
2010,Distrito Federal,sep,196,01/01/2010,,,,
2011,Distrito Federal,sep,133,01/01/2011,,,,
2012,Distrito Federal,sep,64,01/01/2012,,,,
2013,Distrito Federal,sep,31,01/01/2013,,,,
2014,Distrito Federal,sep,72,01/01/2014,,,,
2015,Distrito Federal,sep,76,01/01/2015,,,,
2016,Distrito Federal,sep,58,01/01/2016,,,,
2017,Distrito Federal,sep,122,01/01/2017,,,,
1998,Distrito Federal,oct,3,01/01/1998,,,,
1999,Distrito Federal,oct,8,01/01/1999,,,,
2000,Distrito Federal,oct,18,01/01/2000,,,,
2001,Distrito Federal,oct,0,01/01/2001,,,,
2002,Distrito Federal,oct,19,01/01/2002,,,,
2003,Distrito Federal,oct,12,01/01/2003,,,,
2004,Distrito Federal,oct,18,01/01/2004,,,,
2005,Distrito Federal,oct,18,01/01/2005,,,,
2006,Distrito Federal,oct,1,01/01/2006,,,,
2007,Distrito Federal,oct,13,01/01/2007,,,,
2008,Distrito Federal,oct,6,01/01/2008,,,,
2009,Distrito Federal,oct,3,01/01/2009,,,,
2010,Distrito Federal,oct,6,01/01/2010,,,,
2011,Distrito Federal,oct,0,01/01/2011,,,,
2012,Distrito Federal,oct,15,01/01/2012,,,,
2013,Distrito Federal,oct,3,01/01/2013,,,,
2014,Distrito Federal,oct,34,01/01/2014,,,,
2015,Distrito Federal,oct,21,01/01/2015,,,,
2016,Distrito Federal,oct,9,01/01/2016,,,,
2017,Distrito Federal,oct,66,01/01/2017,,,,
1998,Distrito Federal,nov,0,01/01/1998,,,,
1999,Distrito Federal,nov,1,01/01/1999,,,,
2000,Distrito Federal,nov,0,01/01/2000,,,,
2001,Distrito Federal,nov,0,01/01/2001,,,,
2002,Distrito Federal,nov,1,01/01/2002,,,,
2003,Distrito Federal,nov,0,01/01/2003,,,,
2004,Distrito Federal,nov,0,01/01/2004,,,,
2005,Distrito Federal,nov,2,01/01/2005,,,,
2006,Distrito Federal,nov,0,01/01/2006,,,,
2007,Distrito Federal,nov,0,01/01/2007,,,,
2008,Distrito Federal,nov,4,01/01/2008,,,,
2009,Distrito Federal,nov,0,01/01/2009,,,,
2010,Distrito Federal,nov,0,01/01/2010,,,,
2011,Distrito Federal,nov,1,01/01/2011,,,,
2012,Distrito Federal,nov,0,01/01/2012,,,,
2013,Distrito Federal,nov,0,01/01/2013,,,,
2014,Distrito Federal,nov,0,01/01/2014,,,,
2015,Distrito Federal,nov,3,01/01/2015,,,,
2016,Distrito Federal,nov,1,01/01/2016,,,,
2017,Distrito Federal,nov,0,01/01/2017,,,,
1998,Distrito Federal,dec,0,01/01/1998,,,,
1999,Distrito Federal,dec,0,01/01/1999,,,,
2000,Distrito Federal,dec,0,01/01/2000,,,,
2001,Distrito Federal,dec,1,01/01/2001,,,,
2002,Distrito Federal,dec,1,01/01/2002,,,,
2003,Distrito Federal,dec,0,01/01/2003,,,,
2004,Distrito Federal,dec,0,01/01/2004,,,,
2005,Distrito Federal,dec,0,01/01/2005,,,,
2006,Distrito Federal,dec,0,01/01/2006,,,,
2007,Distrito Federal,dec,0,01/01/2007,,,,
2008,Distrito Federal,dec,0,01/01/2008,,,,
2009,Distrito Federal,dec,0,01/01/2009,,,,
2010,Distrito Federal,dec,1,01/01/2010,,,,
2011,Distrito Federal,dec,0,01/01/2011,,,,
2012,Distrito Federal,dec,0,01/01/2012,,,,
2013,Distrito Federal,dec,2,01/01/2013,,,,
2014,Distrito Federal,dec,0,01/01/2014,,,,
2015,Distrito Federal,dec,0,01/01/2015,,,,
2016,Distrito Federal,dec,0,01/01/2016,,,,
1998,Espirito Santo,jan,0,01/01/1998,,,,
1999,Espirito Santo,jan,33,01/01/1999,,,,
2000,Espirito Santo,jan,5,01/01/2000,,,,
2001,Espirito Santo,jan,1,01/01/2001,,,,
2002,Espirito Santo,jan,2,01/01/2002,,,,
2003,Espirito Santo,jan,4,01/01/2003,,,,
2004,Espirito Santo,jan,1,01/01/2004,,,,
2005,Espirito Santo,jan,4,01/01/2005,,,,
2006,Espirito Santo,jan,13,01/01/2006,,,,
2007,Espirito Santo,jan,0,01/01/2007,,,,
2008,Espirito Santo,jan,12,01/01/2008,,,,
2009,Espirito Santo,jan,4,01/01/2009,,,,
2010,Espirito Santo,jan,52,01/01/2010,,,,
2011,Espirito Santo,jan,3,01/01/2011,,,,
2012,Espirito Santo,jan,1,01/01/2012,,,,
2013,Espirito Santo,jan,10,01/01/2013,,,,
2014,Espirito Santo,jan,11,01/01/2014,,,,
2015,Espirito Santo,jan,76,01/01/2015,,,,
2016,Espirito Santo,jan,43,01/01/2016,,,,
2017,Espirito Santo,jan,13,01/01/2017,,,,
1998,Espirito Santo,feb,0,01/01/1998,,,,
1999,Espirito Santo,feb,10,01/01/1999,,,,
2000,Espirito Santo,feb,5,01/01/2000,,,,
2001,Espirito Santo,feb,5,01/01/2001,,,,
2002,Espirito Santo,feb,4,01/01/2002,,,,
2003,Espirito Santo,feb,11,01/01/2003,,,,
2004,Espirito Santo,feb,5,01/01/2004,,,,
2005,Espirito Santo,feb,1,01/01/2005,,,,
2006,Espirito Santo,feb,45,01/01/2006,,,,
2007,Espirito Santo,feb,3,01/01/2007,,,,
2008,Espirito Santo,feb,20,01/01/2008,,,,
2009,Espirito Santo,feb,12,01/01/2009,,,,
2010,Espirito Santo,feb,15,01/01/2010,,,,
2011,Espirito Santo,feb,42,01/01/2011,,,,
2012,Espirito Santo,feb,25,01/01/2012,,,,
2013,Espirito Santo,feb,15,01/01/2013,,,,
2014,Espirito Santo,feb,17,01/01/2014,,,,
2015,Espirito Santo,feb,60,01/01/2015,,,,
2016,Espirito Santo,feb,24,01/01/2016,,,,
2017,Espirito Santo,feb,8,01/01/2017,,,,
1998,Espirito Santo,mar,0,01/01/1998,,,,
1999,Espirito Santo,mar,8,01/01/1999,,,,
2000,Espirito Santo,mar,1,01/01/2000,,,,
2001,Espirito Santo,mar,2,01/01/2001,,,,
2002,Espirito Santo,mar,4,01/01/2002,,,,
2003,Espirito Santo,mar,28,01/01/2003,,,,
2004,Espirito Santo,mar,3,01/01/2004,,,,
2005,Espirito Santo,mar,3,01/01/2005,,,,
2006,Espirito Santo,mar,14,01/01/2006,,,,
2007,Espirito Santo,mar,9,01/01/2007,,,,
2008,Espirito Santo,mar,5,01/01/2008,,,,
2009,Espirito Santo,mar,11,01/01/2009,,,,
2010,Espirito Santo,mar,3,01/01/2010,,,,
2011,Espirito Santo,mar,5,01/01/2011,,,,
2012,Espirito Santo,mar,35,01/01/2012,,,,
2013,Espirito Santo,mar,13,01/01/2013,,,,
2014,Espirito Santo,mar,15,01/01/2014,,,,
2015,Espirito Santo,mar,25,01/01/2015,,,,
2016,Espirito Santo,mar,107,01/01/2016,,,,
2017,Espirito Santo,mar,9,01/01/2017,,,,
1998,Espirito Santo,apr,0,01/01/1998,,,,
1999,Espirito Santo,apr,2,01/01/1999,,,,
2000,Espirito Santo,apr,3,01/01/2000,,,,
2001,Espirito Santo,apr,2,01/01/2001,,,,
2002,Espirito Santo,apr,2,01/01/2002,,,,
2003,Espirito Santo,apr,22,01/01/2003,,,,
2004,Espirito Santo,apr,0,01/01/2004,,,,
2005,Espirito Santo,apr,4,01/01/2005,,,,
2006,Espirito Santo,apr,1,01/01/2006,,,,
2007,Espirito Santo,apr,2,01/01/2007,,,,
2008,Espirito Santo,apr,8,01/01/2008,,,,
2009,Espirito Santo,apr,8,01/01/2009,,,,
2010,Espirito Santo,apr,7,01/01/2010,,,,
2011,Espirito Santo,apr,3,01/01/2011,,,,
2012,Espirito Santo,apr,74,01/01/2012,,,,
2013,Espirito Santo,apr,16,01/01/2013,,,,
2014,Espirito Santo,apr,15,01/01/2014,,,,
2015,Espirito Santo,apr,33,01/01/2015,,,,
2016,Espirito Santo,apr,57,01/01/2016,,,,
2017,Espirito Santo,apr,7,01/01/2017,,,,
1998,Espirito Santo,may,0,01/01/1998,,,,
1999,Espirito Santo,may,16,01/01/1999,,,,
2000,Espirito Santo,may,2,01/01/2000,,,,
2001,Espirito Santo,may,8,01/01/2001,,,,
2002,Espirito Santo,may,5,01/01/2002,,,,
2003,Espirito Santo,may,1,01/01/2003,,,,
2004,Espirito Santo,may,0,01/01/2004,,,,
2005,Espirito Santo,may,5,01/01/2005,,,,
2006,Espirito Santo,may,0,01/01/2006,,,,
2007,Espirito Santo,may,1,01/01/2007,,,,
2008,Espirito Santo,may,2,01/01/2008,,,,
2009,Espirito Santo,may,7,01/01/2009,,,,
2010,Espirito Santo,may,3,01/01/2010,,,,
2011,Espirito Santo,may,2,01/01/2011,,,,
2012,Espirito Santo,may,20,01/01/2012,,,,
2013,Espirito Santo,may,14,01/01/2013,,,,
2014,Espirito Santo,may,18,01/01/2014,,,,
2015,Espirito Santo,may,17,01/01/2015,,,,
2016,Espirito Santo,may,48,01/01/2016,,,,
2017,Espirito Santo,may,10,01/01/2017,,,,
1998,Espirito Santo,jun,6,01/01/1998,,,,
1999,Espirito Santo,jun,6,01/01/1999,,,,
2000,Espirito Santo,jun,9,01/01/2000,,,,
2001,Espirito Santo,jun,9,01/01/2001,,,,
2002,Espirito Santo,jun,18,01/01/2002,,,,
2003,Espirito Santo,jun,19,01/01/2003,,,,
2004,Espirito Santo,jun,3,01/01/2004,,,,
2005,Espirito Santo,jun,8,01/01/2005,,,,
2006,Espirito Santo,jun,5,01/01/2006,,,,
2007,Espirito Santo,jun,4,01/01/2007,,,,
2008,Espirito Santo,jun,4,01/01/2008,,,,
2009,Espirito Santo,jun,12,01/01/2009,,,,
2010,Espirito Santo,jun,3,01/01/2010,,,,
2011,Espirito Santo,jun,7,01/01/2011,,,,
2012,Espirito Santo,jun,15,01/01/2012,,,,
2013,Espirito Santo,jun,22,01/01/2013,,,,
2014,Espirito Santo,jun,9,01/01/2014,,,,
2015,Espirito Santo,jun,18,01/01/2015,,,,
2016,Espirito Santo,jun,49,01/01/2016,,,,
2017,Espirito Santo,jun,37,01/01/2017,,,,
1998,Espirito Santo,jul,37,01/01/1998,,,,
1999,Espirito Santo,jul,9,01/01/1999,,,,
2000,Espirito Santo,jul,16,01/01/2000,,,,
2001,Espirito Santo,jul,12,01/01/2001,,,,
2002,Espirito Santo,jul,9,01/01/2002,,,,
2003,Espirito Santo,jul,27,01/01/2003,,,,
2004,Espirito Santo,jul,4,01/01/2004,,,,
2005,Espirito Santo,jul,9,01/01/2005,,,,
2006,Espirito Santo,jul,11,01/01/2006,,,,
2007,Espirito Santo,jul,13,01/01/2007,,,,
2008,Espirito Santo,jul,5,01/01/2008,,,,
2009,Espirito Santo,jul,25,01/01/2009,,,,
2010,Espirito Santo,jul,5,01/01/2010,,,,
2011,Espirito Santo,jul,18,01/01/2011,,,,
2012,Espirito Santo,jul,35,01/01/2012,,,,
2013,Espirito Santo,jul,20,01/01/2013,,,,
2014,Espirito Santo,jul,17,01/01/2014,,,,
2015,Espirito Santo,jul,30,01/01/2015,,,,
2016,Espirito Santo,jul,42,01/01/2016,,,,
2017,Espirito Santo,jul,3,01/01/2017,,,,
1998,Espirito Santo,aug,38,01/01/1998,,,,
1999,Espirito Santo,aug,60,01/01/1999,,,,
2000,Espirito Santo,aug,26,01/01/2000,,,,
2001,Espirito Santo,aug,30,01/01/2001,,,,
2002,Espirito Santo,aug,60,01/01/2002,,,,
2003,Espirito Santo,aug,118,01/01/2003,,,,
2004,Espirito Santo,aug,12,01/01/2004,,,,
2005,Espirito Santo,aug,12,01/01/2005,,,,
2006,Espirito Santo,aug,29,01/01/2006,,,,
2007,Espirito Santo,aug,82,01/01/2007,,,,
2008,Espirito Santo,aug,13,01/01/2008,,,,
2009,Espirito Santo,aug,17,01/01/2009,,,,
2010,Espirito Santo,aug,39,01/01/2010,,,,
2011,Espirito Santo,aug,93,01/01/2011,,,,
2012,Espirito Santo,aug,12,01/01/2012,,,,
2013,Espirito Santo,aug,53,01/01/2013,,,,
2014,Espirito Santo,aug,47,01/01/2014,,,,
2015,Espirito Santo,aug,35,01/01/2015,,,,
2016,Espirito Santo,aug,78,01/01/2016,,,,
2017,Espirito Santo,aug,30,01/01/2017,,,,
1998,Espirito Santo,sep,108,01/01/1998,,,,
1999,Espirito Santo,sep,64,01/01/1999,,,,
2000,Espirito Santo,sep,14,01/01/2000,,,,
2001,Espirito Santo,sep,38,01/01/2001,,,,
2002,Espirito Santo,sep,46,01/01/2002,,,,
2003,Espirito Santo,sep,252,01/01/2003,,,,
2004,Espirito Santo,sep,47,01/01/2004,,,,
2005,Espirito Santo,sep,8,01/01/2005,,,,
2006,Espirito Santo,sep,87,01/01/2006,,,,
2007,Espirito Santo,sep,63,01/01/2007,,,,
2008,Espirito Santo,sep,78,01/01/2008,,,,
2009,Espirito Santo,sep,57,01/01/2009,,,,
2010,Espirito Santo,sep,53,01/01/2010,,,,
2011,Espirito Santo,sep,108,01/01/2011,,,,
2012,Espirito Santo,sep,48,01/01/2012,,,,
2013,Espirito Santo,sep,30,01/01/2013,,,,
2014,Espirito Santo,sep,61,01/01/2014,,,,
2015,Espirito Santo,sep,228,01/01/2015,,,,
2016,Espirito Santo,sep,128,01/01/2016,,,,
2017,Espirito Santo,sep,58,01/01/2017,,,,
1998,Espirito Santo,oct,20,01/01/1998,,,,
1999,Espirito Santo,oct,23,01/01/1999,,,,
2000,Espirito Santo,oct,88,01/01/2000,,,,
2001,Espirito Santo,oct,19,01/01/2001,,,,
2002,Espirito Santo,oct,113,01/01/2002,,,,
2003,Espirito Santo,oct,159,01/01/2003,,,,
2004,Espirito Santo,oct,48,01/01/2004,,,,
2005,Espirito Santo,oct,62,01/01/2005,,,,
2006,Espirito Santo,oct,10,01/01/2006,,,,
2007,Espirito Santo,oct,79,01/01/2007,,,,
2008,Espirito Santo,oct,100,01/01/2008,,,,
2009,Espirito Santo,oct,13,01/01/2009,,,,
2010,Espirito Santo,oct,32,01/01/2010,,,,
2011,Espirito Santo,oct,38,01/01/2011,,,,
2012,Espirito Santo,oct,62,01/01/2012,,,,
2013,Espirito Santo,oct,37,01/01/2013,,,,
2014,Espirito Santo,oct,89,01/01/2014,,,,
2015,Espirito Santo,oct,307,01/01/2015,,,,
2016,Espirito Santo,oct,58,01/01/2016,,,,
2017,Espirito Santo,oct,56,01/01/2017,,,,
1998,Espirito Santo,nov,4,01/01/1998,,,,
1999,Espirito Santo,nov,9,01/01/1999,,,,
2000,Espirito Santo,nov,3,01/01/2000,,,,
2001,Espirito Santo,nov,3,01/01/2001,,,,
2002,Espirito Santo,nov,22,01/01/2002,,,,
2003,Espirito Santo,nov,49,01/01/2003,,,,
2004,Espirito Santo,nov,42,01/01/2004,,,,
2005,Espirito Santo,nov,0,01/01/2005,,,,
2006,Espirito Santo,nov,0,01/01/2006,,,,
2007,Espirito Santo,nov,112,01/01/2007,,,,
2008,Espirito Santo,nov,3,01/01/2008,,,,
2009,Espirito Santo,nov,18,01/01/2009,,,,
2010,Espirito Santo,nov,3,01/01/2010,,,,
2011,Espirito Santo,nov,6,01/01/2011,,,,
2012,Espirito Santo,nov,7,01/01/2012,,,,
2013,Espirito Santo,nov,11,01/01/2013,,,,
2014,Espirito Santo,nov,20,01/01/2014,,,,
2015,Espirito Santo,nov,141,01/01/2015,,,,
2016,Espirito Santo,nov,8,01/01/2016,,,,
2017,Espirito Santo,nov,3,01/01/2017,,,,
1998,Espirito Santo,dec,5,01/01/1998,,,,
1999,Espirito Santo,dec,0,01/01/1999,,,,
2000,Espirito Santo,dec,3,01/01/2000,,,,
2001,Espirito Santo,dec,1,01/01/2001,,,,
2002,Espirito Santo,dec,12,01/01/2002,,,,
2003,Espirito Santo,dec,18,01/01/2003,,,,
2004,Espirito Santo,dec,9,01/01/2004,,,,
2005,Espirito Santo,dec,5,01/01/2005,,,,
2006,Espirito Santo,dec,0,01/01/2006,,,,
2007,Espirito Santo,dec,14,01/01/2007,,,,
2008,Espirito Santo,dec,1,01/01/2008,,,,
2009,Espirito Santo,dec,32,01/01/2009,,,,
2010,Espirito Santo,dec,10,01/01/2010,,,,
2011,Espirito Santo,dec,1,01/01/2011,,,,
2012,Espirito Santo,dec,18,01/01/2012,,,,
2013,Espirito Santo,dec,9,01/01/2013,,,,
2014,Espirito Santo,dec,28,01/01/2014,,,,
2015,Espirito Santo,dec,61,01/01/2015,,,,
2016,Espirito Santo,dec,12,01/01/2016,,,,
1998,Goias,jan,0,01/01/1998,,,,
1999,Goias,jan,14,01/01/1999,,,,
2000,Goias,jan,10,01/01/2000,,,,
2001,Goias,jan,29,01/01/2001,,,,
2002,Goias,jan,12,01/01/2002,,,,
2003,Goias,jan,14,01/01/2003,,,,
2004,Goias,jan,10,01/01/2004,,,,
2005,Goias,jan,27,01/01/2005,,,,
2006,Goias,jan,85,01/01/2006,,,,
2007,Goias,jan,28,01/01/2007,,,,
2008,Goias,jan,23,01/01/2008,,,,
2009,Goias,jan,30,01/01/2009,,,,
2010,Goias,jan,59,01/01/2010,,,,
2011,Goias,jan,39,01/01/2011,,,,
2012,Goias,jan,21,01/01/2012,,,,
2013,Goias,jan,33,01/01/2013,,,,
2014,Goias,jan,80,01/01/2014,,,,
2015,Goias,jan,118,01/01/2015,,,,
2016,Goias,jan,52,01/01/2016,,,,
2017,Goias,jan,53,01/01/2017,,,,
1998,Goias,feb,0,01/01/1998,,,,
1999,Goias,feb,334,01/01/1999,,,,
2000,Goias,feb,11,01/01/2000,,,,
2001,Goias,feb,9,01/01/2001,,,,
2002,Goias,feb,9,01/01/2002,,,,
2003,Goias,feb,47,01/01/2003,,,,
2004,Goias,feb,11,01/01/2004,,,,
2005,Goias,feb,84,01/01/2005,,,,
2006,Goias,feb,21,01/01/2006,,,,
2007,Goias,feb,13,01/01/2007,,,,
2008,Goias,feb,25,01/01/2008,,,,
2009,Goias,feb,29,01/01/2009,,,,
2010,Goias,feb,86,01/01/2010,,,,
2011,Goias,feb,45,01/01/2011,,,,
2012,Goias,feb,37,01/01/2012,,,,
2013,Goias,feb,86,01/01/2013,,,,
2014,Goias,feb,44,01/01/2014,,,,
2015,Goias,feb,53,01/01/2015,,,,
2016,Goias,feb,117,01/01/2016,,,,
2017,Goias,feb,75,01/01/2017,,,,
1998,Goias,mar,0,01/01/1998,,,,
1999,Goias,mar,1,01/01/1999,,,,
2000,Goias,mar,4,01/01/2000,,,,
2001,Goias,mar,10,01/01/2001,,,,
2002,Goias,mar,48,01/01/2002,,,,
2003,Goias,mar,29,01/01/2003,,,,
2004,Goias,mar,36,01/01/2004,,,,
2005,Goias,mar,36,01/01/2005,,,,
2006,Goias,mar,29,01/01/2006,,,,
2007,Goias,mar,49,01/01/2007,,,,
2008,Goias,mar,20,01/01/2008,,,,
2009,Goias,mar,32,01/01/2009,,,,
2010,Goias,mar,65,01/01/2010,,,,
2011,Goias,mar,19,01/01/2011,,,,
2012,Goias,mar,57,01/01/2012,,,,
2013,Goias,mar,79,01/01/2013,,,,
2014,Goias,mar,80,01/01/2014,,,,
2015,Goias,mar,76,01/01/2015,,,,
2016,Goias,mar,136,01/01/2016,,,,
2017,Goias,mar,115,01/01/2017,,,,
1998,Goias,apr,0,01/01/1998,,,,
1999,Goias,apr,25,01/01/1999,,,,
2000,Goias,apr,16,01/01/2000,,,,
2001,Goias,apr,49,01/01/2001,,,,
2002,Goias,apr,78,01/01/2002,,,,
2003,Goias,apr,87,01/01/2003,,,,
2004,Goias,apr,32,01/01/2004,,,,
2005,Goias,apr,55,01/01/2005,,,,
2006,Goias,apr,22,01/01/2006,,,,
2007,Goias,apr,17,01/01/2007,,,,
2008,Goias,apr,36,01/01/2008,,,,
2009,Goias,apr,11,01/01/2009,,,,
2010,Goias,apr,105,01/01/2010,,,,
2011,Goias,apr,71,01/01/2011,,,,
2012,Goias,apr,89,01/01/2012,,,,
2013,Goias,apr,42,01/01/2013,,,,
2014,Goias,apr,138,01/01/2014,,,,
2015,Goias,apr,89,01/01/2015,,,,
2016,Goias,apr,167,01/01/2016,,,,
2017,Goias,apr,60,01/01/2017,,,,
1998,Goias,may,0,01/01/1998,,,,
1999,Goias,may,99,01/01/1999,,,,
2000,Goias,may,58,01/01/2000,,,,
2001,Goias,may,85,01/01/2001,,,,
2002,Goias,may,171,01/01/2002,,,,
2003,Goias,may,57,01/01/2003,,,,
2004,Goias,may,157,01/01/2004,,,,
2005,Goias,may,164,01/01/2005,,,,
2006,Goias,may,33,01/01/2006,,,,
2007,Goias,may,94,01/01/2007,,,,
2008,Goias,may,41,01/01/2008,,,,
2009,Goias,may,104,01/01/2009,,,,
2010,Goias,may,239,01/01/2010,,,,
2011,Goias,may,136,01/01/2011,,,,
2012,Goias,may,103,01/01/2012,,,,
2013,Goias,may,150,01/01/2013,,,,
2014,Goias,may,210,01/01/2014,,,,
2015,Goias,may,129,01/01/2015,,,,
2016,Goias,may,233,01/01/2016,,,,
2017,Goias,may,135,01/01/2017,,,,
1998,Goias,jun,172,01/01/1998,,,,
1999,Goias,jun,250,01/01/1999,,,,
2000,Goias,jun,222,01/01/2000,,,,
2001,Goias,jun,212,01/01/2001,,,,
